Phase,Site id,Municipality,Site name,Collection,Main number,Subnumber,p,i,z,m1,m2,m3,n1,n2,n3,n4,p1,p2,r1,r2,Category,Type,Subtype,Subtype (Finnish),Certainty,Integrity,Length (mm),Width (mm),Thickness (mm),Fragment length (mm),Fragment width (mm),Fragment thickness (mm),Other notes (Finnish),Photo ID,X,Y,Main temper (Finnish),Other tempers (Finnish),Count (1-10),Count (10-100),Count (>100),Subtype 2,Subtype 2 (Finnish),Rock type (Finnish),PhotoID,Length,Mon1,Mon2,Mon3,Mon4,Mon5,Mon6,Ajoitusperuste,Type (Finnish),Preroman IA,Early Roman IA,Late Roman IA,Migration period,Merovingian period,Viking period,Crusade period,1100-1300,1400-1500,Settlement site,Cremation cemetery,Inhumation cemetery,Stray find,Cairn,Hoard,Other context,Decoration,Wave motif,Grid motif,Cord impression,Decoration elements (Finnish),Wall thickness 1 (mm),Wall thickness 2 (mm),Rim thickness 1 (mm),Rim thickness 2 (mm),Crust,Stone art (Finnish)
SA,621010016,Pedersöre,Purmo-Hundbacken/Myllykangas,KM,20723,211.0,7034739.0,3305968.0,55,False,False,False,False,True,False,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,,KM 20723_211,"23,11762573","63,36188181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,621010016,Pedersöre,Purmo-Hundbacken/Myllykangas,KM,20723,224.0,7034739.0,3305968.0,55,False,False,False,False,True,False,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,hampaanjälkiä,KM 20723_224,"23,11762573","63,36188181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,621010016,Pedersöre,Purmo-Hundbacken/Myllykangas,KM,20999,14.0,7034739.0,3305968.0,55,False,False,False,False,True,False,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,,KM 20999_14,"23,11762573","63,36188181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,621010016,Pedersöre,Purmo-Hundbacken/Myllykangas,KM,20999,23.0,7034739.0,3305968.0,55,False,False,False,False,True,False,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,21.0,11.0,7.0,,,,hampaanjälkiä,KM 20999_23,"23,11762573","63,36188181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,621010016,Pedersöre,Purmo-Hundbacken/Myllykangas,KM,20999,235.0,7034739.0,3305968.0,55,False,False,False,False,True,False,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,22.0,18.0,7.0,hampaanjälkiä,KM 20999_235,"23,11762573","63,36188181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,52010071,Evijärvi,Isokangas,KM,21166,539.0,7047065.0,3316500.0,57,False,False,False,False,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,,KM 21166_539,"23,31347421","63,47779654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,621010016,Pedersöre,Purmo-Hundbacken/Myllykangas,KM,21349,29.0,7034739.0,3305968.0,55,False,False,False,False,True,False,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,28.0,16.0,10.0,hampaanjälkiä,KM 21349_29,"23,11762573","63,36188181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,765010010,Sotkamo,Kiikarusniemi,KM,21482,22.0,7116710.0,3567120.0,137,False,False,False,True,True,False,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,14.0,11.0,11.0,,,,,KM 21482_22,"28,37534246","64,14352966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,594010001,Pieksämäki,Naarajärvi,KM,22019,402.0,6907350.0,3502460.0,82,False,False,False,True,True,False,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,,KM 22019_402,"27,04408608","62,27175285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,890010001,Utsjoki,Ala-Jalve,KM,22488,1446.0,7777280.0,3527000.0,45,False,False,False,False,False,False,True,True,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,2.0,False,17.0,14.0,5.0,,,,Puupainanteita,KM 22488_1446,"27,70496792","70,07180011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,47010076,Enontekiö,Proksinkenttä,KM,22841,130.0,7593361.0,3363136.0,288,False,False,False,False,False,False,False,True,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,3.0,False,,,,,,,4 kpl,KM 22841_130,"23,6655816","68,39121928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,593010001,Pieksämäki,Tahinniemi,KM,22955,193.0,6913850.0,3507670.0,120,False,False,False,False,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,"2 kpl, hampaanjälkiä",KM 22955_193,"27,14469052","62,33000653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,593010001,Pieksämäki,Tahinniemi,KM,22955,197.0,6913850.0,3507670.0,120,False,False,False,False,True,True,False,False,False,False,False,Birch bark tar,Chewing pitch,,Purupihka,1.0,False,,,,,,,"1 kpl, hampaanjälkiä",KM 22955_197,"27,14469052","62,33000653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
