Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Integrity;Length (mm);Width (mm);Thickness (mm);Fragment length (mm);Fragment width (mm);Fragment thickness (mm);Other notes (Finnish);Photo ID
SA;559010018;Vöyri;Fårmossen 1-2;KM;23233;31;7023600;3276120;45;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;2 kpl;KM 23233_31
SA;890010001;Utsjoki;Ala-Jalve;KM;23306;227;7777280;3527000;45;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;2;FALSE;;;;;;;2 kpl, yhteen liimattavissa;KM 23306_227
SA;972010027;Oulu;Kierikin sorakuoppa;KM;23431;698;7251960;3451710;58;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;3;FALSE;;;;;;;haljennut kolmeen osaan, Kierikkikeskuksessa;KM 23431_698
SA;593010001;Pieksämäki;Tahinniemi;KM;23445;136;6913850;3507670;120;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;2 kpl;KM 23445_136
SA;973010028;Oulu;Latokangas;KM;24750;61;7220700;3461680;74;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;1 kpl, hampaanjälkiä;KM 24750_61
SA;832010033;Taivalkoski;Aatsinki 2;KM;25271;405;7274490;3545720;180;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;2;FALSE;;;;;;;;KM 25271_405
SA;139010015;Ii;Hiidenkangas;KM;25602;60;7263540;3433420;42;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;;FALSE;24;15;8;;;;ei nähty;KM 25602_60
SA;973010028;Oulu;Latokangas;KM;25731;399;7220700;3461680;74;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;0,6 g;KM 25731_399
SA;699010277;Rovaniemi;Piirittävaara;KM;26057;483;7381520;3444530;77;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;3;FALSE;12;13;12;;;;;KM 26057_483
SA;777010056;Suomussalmi;Mikonsärkkä;KM;26391;74;7236404;3614044;199;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;;KM 26391_74
SA;768010018;Sulkava;Vilkajärvi 1;KM;26427;49;6856018;3575398;85;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;2;FALSE;;;;;;;2 kpl, luultavasti esineen varttamispaloja;KM 26427_49
SA;768010018;Sulkava;Vilkajärvi 1;KM;26427;142;6856018;3575398;85;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;1;FALSE;;;;;;;1 kpl;KM 26427_142
SA;768010018;Sulkava;Vilkajärvi 1;KM;26427;173;6856018;3575398;85;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;Birch bark tar;Chewing pitch;;Purupihka;2;FALSE;;;;;;;1 kpl, ehkä varttamispala;KM 26427_173
