Phase,Site id,Municipality,Site name,Collection,Main number,Subnumber,p,i,z,Category,Type (Finnish),Preroman IA,Early Roman IA,Late Roman IA,Migration period,Merovingian period,Viking period,Crusade period,1100-1300,1400-1500,Settlement site,Cremation cemetery,Inhumation cemetery,Stray find,Cairn,Hoard,Other context,Certainty,Integrity,Length (mm),Width (mm),Thickness (mm),Fragment length (mm),Fragment width (mm),Fragment thickness (mm),Other notes (Finnish),PhotoID,X,Y,Type,Subtype,Subtype (Finnish),m1,m2,m3,n1,n2,n3,n4,p1,p2,r1,r2,Main temper (Finnish),Other tempers (Finnish),Count (1-10),Count (10-100),Count (>100),Subtype 2,Decoration,Wave motif,Grid motif,Cord impression,Decoration elements (Finnish),Wall thickness 1 (mm),Wall thickness 2 (mm),Rim thickness 1 (mm),Rim thickness 2 (mm),Crust,Subtype 2 (Finnish),Stone art (Finnish)
IA,291040019,Kuhmoinen,Hokkala,KM,15675,1,6829615.0,3403378.0,92,Iron artefact,Kirves,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,1.0,True,154.0,44.0,,,,,,KM 15675_1,"25,17867916","61,56209355",Iron axe,Iron axe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,73000003,Salo,Katunpää,KM,15676,1,6706494.0,3281107.0,21,Iron artefact,Miekka,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,1.0,False,,,,,,,,KM 15676_1,"23,02323576","60,40993985",Iron sword,Iron sword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,73000003,Salo,Katunpää,KM,15676,1,6706494.0,3281107.0,21,Iron artefact,Miekka,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,1.0,False,,,,,,,,KM 15676_1,"23,02323576","60,40993985",Iron sword,Iron sword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,738010021,Sauvo,Hallela,KM,15795,1,6699480.0,3263810.0,,Iron artefact,Keihäänkärki,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1.0,True,425.0,,,,,,,KM 15795_1,"22,71848391","60,33743386",Iron spearhead,Iron spearhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000010625,Askola,Koivisto,KM,15818,1,6712210.0,3430120.0,,Iron artefact,Kirves,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1.0,True,149.0,120.0,41.0,,,,,KM 15818_1,"25,72472437","60,51452456",Iron axe,Iron axe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000030208,Pielavesi,Lampaanjärvi Joensuu,KM,15870,1,7028243.0,3495587.0,,Iron artefact,Keihäänkärki,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1.0,True,330.0,32.0,,,,,"Olkapäät terävät, terässä urakoristelua/damaskointi??",KM 15870_1,"26,90841864","63,35637191",Iron spearhead,Iron spearhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000030208,Pielavesi,Lampaanjärvi Joensuu,KM,15870,2,7028243.0,3495587.0,,Iron artefact,Kirves,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,1.0,True,192.0,93.0,41.0,,,,"Olkapäät terävät, terässä urakoristelua/damaskointi??",KM 15870_2,"26,90841864","63,35637191",Iron axe,Iron axe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000030208,Pielavesi,Lampaanjärvi Joensuu,KM,15870,2,7028243.0,3495587.0,,Iron artefact,Kirves,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,1.0,True,192.0,93.0,41.0,,,,"Olkapäät terävät, terässä urakoristelua/damaskointi??",KM 15870_2,"26,90841864","63,35637191",Iron axe,Iron axe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,220010038,Raasepori,Storladsbacken,KM,15880,1,6665607.0,3315111.0,10,Iron artefact,Kirves,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,1.0,True,96.0,38.0,37.0,,,,eläimen hampaita,KM 15880_1,"23,67653597","60,06057524",Iron axe,Iron axe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,220010038,Raasepori,Storladsbacken,KM,15880,1,6665607.0,3315111.0,10,Iron artefact,Kirves,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,1.0,True,96.0,38.0,37.0,,,,eläimen hampaita,KM 15880_1,"23,67653597","60,06057524",Iron axe,Iron axe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,73000003,Salo,Katunpää,KM,15895,1,6706494.0,3281107.0,21,Iron artefact,Keihäänkärki,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,1.0,False,270.0,30.0,,,,,,KM 15895_1,"23,02323576","60,40993985",Iron spearhead,Iron spearhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,73000003,Salo,Katunpää,KM,15895,1,6706494.0,3281107.0,21,Iron artefact,Keihäänkärki,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,1.0,False,270.0,30.0,,,,,,KM 15895_1,"23,02323576","60,40993985",Iron spearhead,Iron spearhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000002303,Mikkeli,Mäntyranta,KM,15901,1,6839250.0,3511600.0,105,Iron artefact,Keihäänkärki,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,1.0,True,370.0,35.0,,,,,"Palopatinaa pinnassa, hopeakoristelusta jäljellä pisaroita putkessa",KM 15901_1,"27,21573504","61,66052801",Iron spearhead,Iron spearhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000002303,Mikkeli,Mäntyranta,KM,15901,1,6839250.0,3511600.0,105,Iron artefact,Keihäänkärki,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,1.0,True,370.0,35.0,,,,,"Palopatinaa pinnassa, hopeakoristelusta jäljellä pisaroita putkessa",KM 15901_1,"27,21573504","61,66052801",Iron spearhead,Iron spearhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
