Phase;Site id;Municipality;Site name;Collection;Main number;Subnumber;p;i;z;m1;m2;m3;n1;n2;n3;n4;p1;p2;r1;r2;Category;Type;Subtype;Subtype (Finnish);Certainty;Main temper (Finnish);Other tempers (Finnish);Count (1-10);Count (10-100);Count (>100);Other notes (Finnish)
IA;49010030;Espoo;Lockkärrshage;KM;9620;7;6680704;3363001;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;2;kivimurska;;TRUE;FALSE;FALSE;
IA;uusi 3832;Uusikirkko;Kaukjärvi;KM;9669;1-46;6704909;3615821;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;1;kivimurska;;FALSE;FALSE;TRUE;karsta (5,22,27)
IA;49010040;Espoo;Mynt;KM;10192;33-34;6679437;3366678;25;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;2;kivimurska;;TRUE;FALSE;FALSE;tai Kiukainen
IA;912010022;Sastamala;Haapakallio;KM;10657;1-200;6811222;3282245;59;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;2;hiekka;;TRUE;FALSE;FALSE;
IA;uusi 2446;Salmi;Tulema;KM;10666;1-41;6809847;3763235;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;2;hiekka;;TRUE;FALSE;FALSE;karsta (39)
IA;Kurkijoki 52;Kurkijoki;Kuuppala Kalmistomäki Räkköläinen;KM;10670;1-189;6801173;3656025;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;1;hiekka;;FALSE;TRUE;FALSE;karsta (35)
IA;6010006;Loimaa;Perämaa;KM;10757;1-2;6769456;3272347;70;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;2;kivimurska;;TRUE;FALSE;FALSE;kokonainen astia (2), karsta (2)
IA;uusi 3088;Sortavala;Moilanen;KM;11014;1-7;6843905;3686652;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;50010033;Eura;Kolmhaara;KM;11196;1-868;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;1;kivimurska;;FALSE;TRUE;FALSE;
IA;927010020;Vihti;Pinolahti;KM;11730;1-42;6701747;3343082;35;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;1;kivimurska;;FALSE;TRUE;FALSE;
IA;50010033;Eura;Kolmhaara;KM;11872;1-212;6770412;3232884;42;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;1;kivimurska;;FALSE;FALSE;TRUE;
IA;606010012;Raasepori;Järnvik;KM;11936;1-41;6673117;3309762;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;1;;;FALSE;FALSE;FALSE;nähty HY arla (29, 84)
IA;613010040;Porvoo;Böle;KM;12135;1-7;6702770;3433160;10;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;1;kivimurska;;TRUE;FALSE;FALSE;
IA;18010051;Askola;Kopinkallio;KM;12261;1-25;6716110;3422670;70;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;1;hiekka;;FALSE;FALSE;TRUE;karsta (2,3)
IA;927010020;Vihti;Pinolahti;KM;12341;1-21;6701747;3343082;35;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;1;kivimurska;;TRUE;FALSE;FALSE;
IA;613010040;Porvoo;Böle;KM;12359;1-160;6702770;3433160;10;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;1;kivimurska;;FALSE;FALSE;TRUE;
IA;18010058;Askola;Taka-Piskulan Ruoksmaa;KM;12373;1-7;6718060;3423120;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;2;hiekka;;TRUE;FALSE;FALSE;
IA;409010037;Kristiinankaupunki;Lappfjärd-Eskola;KM;12562;1-12;6910778;3221927;42,5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;1;;;FALSE;FALSE;FALSE;nähty HY arla (3)
IA;409010037;Kristiinankaupunki;Lappfjärd-Eskola;KM;12562;1-12;6910778;3221927;42,5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;2;kvartsi- ja maasälpärouhe;;TRUE;FALSE;FALSE;
IA;409010037;Kristiinankaupunki;Lappfjärd-Eskola;KM;12562;1-12;6910778;3221927;42,5;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;2;;;FALSE;FALSE;FALSE;nähty HY arla (7)
IA;18010059;Askola;Kalmistomäki;KM;12599;1-43;6718040;3423160;35;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;1;kivimurska;;FALSE;FALSE;TRUE;
IA;988010002;Sastamala;Rukkonkangas;KM;12682;1-5;6809270;3276220;55;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;2;kivimurska;;TRUE;FALSE;FALSE;
IA;220010043;Raasepori;Borgmästars;KM;12798;1-2;6665942;3314586;20;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;1;kivimurska;;FALSE;TRUE;FALSE;
IA;Kurkijoki 52;Kurkijoki;Kuuppala Kalmistomäki Räkköläinen;KM;12810;1-4;6801173;3656025;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Carelian Ware;Carelian Ware;karjalainen keramiikka;1;hiekka;;TRUE;FALSE;FALSE;
IA;18010058;Askola;Taka-Piskulan Ruoksmaa;KM;12931;1-269;6718060;3423120;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;Pottery;Morby Ware;Morby Ware;Morby;1;kivimurska;;FALSE;FALSE;TRUE;
IA;18010058;Askola;Taka-Piskulan Ruoksmaa;KM;12931;1-269;6718060;3423120;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;1;kivimurska;;FALSE;FALSE;TRUE;karsta (175,235)
IA;18010058;Askola;Taka-Piskulan Ruoksmaa;KM;13067;1-871;6718060;3423120;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;Pottery;Iron Age pottery;Iron Age pottery;rautakautinen;1;hiekka;;FALSE;FALSE;TRUE;karsta (1,33,143,266,310,484,574,638,707,792), reikä (486,536)
