Phase,Site id,Municipality,Site name,Collection,Main number,Subnumber,p,i,z,m1,m2,m3,n1,n2,n3,n4,p1,p2,r1,r2,Category,Type,Subtype,Subtype (Finnish),Certainty,Integrity,Length (mm),Width (mm),Thickness (mm),Fragment length (mm),Fragment width (mm),Fragment thickness (mm),Other notes (Finnish),PhotoID,X,Y,Length,Mon1,Mon2,Mon3,Mon4,Mon5,Mon6,Main temper (Finnish),Other tempers (Finnish),Count (1-10),Count (10-100),Count (>100),Ajoitusperuste,Subtype 2,Subtype 2 (Finnish)
BA,564010051,Oulu,Hangaskangas,KM,31379,102.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,59.0,11.0,4.0,,KM 31379_102,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,103.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,55.0,10.0,4.0,kantakatkelma,KM 31379_103,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,104.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,26.0,13.0,5.0,,KM 31379_104,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,105.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,29.0,12.0,4.0,,KM 31379_105,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,106.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,16.0,9.0,5.0,,KM 31379_106,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,107.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,15.0,9.0,4.0,,KM 31379_107,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,108.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,15.0,9.0,4.0,,KM 31379_108,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,109.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,25.0,7.0,3.0,,KM 31379_109,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,110.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,76.0,,7.0,kantakatkelma,KM 31379_110,"25,78367254","64,89675774",,,,,,,,,,,,,,,
BA,564010051,Oulu,Hangaskangas,KM,31379,111.0,7200515.0,3442572.0,39.0,False,False,False,False,False,False,False,True,False,False,False,Bone artefacts,Bone arrowhead,Bone arrowhead,Luunuolenkärki,1.0,False,,,,38.0,8.0,4.0,kantakatkelma,KM 31379_111,"25,78367254","64,89675774",,,,,,,,,,,,,,,
